rating,comment,normalized_rating
5.0,白开水,0.4444444444444444
3.0,第一季还算合格的爽片，第二季后几集直接剧情大暴走,0.2222222222222222
6.0,手游改就这样了，勉强还行吧,0.5555555555555556
3.0,我真的本来还担心会有什么狗血情节的，结果男女主的精神目前来看都很稳定,0.2222222222222222
2.0,电影版超废物的最终BOSS分头你都不装了,0.1111111111111111
8.0,及其具有冲击力的画面和宏图脑髓的音乐令人印象深刻,0.7777777777777778
4.0,这啥神奇的番，除了离谱画风外就没有一点看点。就这样了太水了看不下去,0.3333333333333333
8.0,很难想象这是85年前的作品,0.7777777777777778
10.0,伟大经典有深度的作品，有部分晦涩难懂，现在只看了一遍，以后要找时间细细品读,1.0
3.0,女主没考上魔组，没能得到魔法手帐（侧翻计算器）的使用资格，不能成为指令魔法操作工，只能进入普通科。但是因祸得福在萝莉老师的教导下，学会手画魔法阵的故事？话说普通科每个人一个职业梦想，还都觉得来普通科能帮助自己实现梦想，结果指的不是什么专门课程而是靠参加过家家学生社团？还有一个班就一个老师，课程内容老师随便定，老师请假了连期末考试都不一定有没有，这是什么草台班子剧情和设定都非常低幼无逻辑，关系塑造空有设定没有相处细节，大小姐对女主莫名讨厌又莫名关系变好了主线剧情进展速度看着不像季番像年番，单话的起承转合没转没合可以说除了算是有特色的画风基本一无是处了,0.2222222222222222
5.0,跟本篇比还算不错了,0.4444444444444444
10.0,单元回质量稍逊上一季，且主线也没有了笑脸男事件那样的悬疑氛围，取而代之的是沉闷至极的观感。但本季在整体结构与宏观叙事上的把握可谓是惊为天人，随着情节的不断推进，多方势力逐个介入，伏线爆发，最后的翻盘点也与前面单元回剧情呼应，总体剧本非常扎实。此外，小到感人至深却丝毫不拖泥带水的虐恋，大到国与国、国与民、民与民、人与机间的矛盾刻画，其完成度不说日本动画，哪怕是放在整个影视界都相当出彩。,1.0
7.0,部分人称受到好评的03年动画，划到治愈系也不是不能理解，但是对魔法的哲思也可以理解为不清不楚设定下的矫情，总体来说音乐算是挺不错，但是综合而言只是考察级。,0.6666666666666666
4.0,这作画！一看就知道是中资的作品！,0.3333333333333333
10.0,永远忘不了,1.0
3.0,头重脚轻,0.2222222222222222
8.0,曾经我总是大喊cl是人生，可当我经历的多了以后，我只觉得当初的自己太年轻了，经历的事太少，回过头来看，我承认，我依旧觉得这是部感人的好作品，但可惜这不是人生，至少不是我的人生。,0.7777777777777778
